city;postal_code;medias_comma_separated;
PARIS 15EME ARRONDISSEMENT;75015;4de3d9aab4880,4993d9aab4880,43ae09aab4880,4d8039aab4884,463f89aab4880,4f4e79aab4880,4b64a9aab4880,47cf69aab4880,448ec9aab4880,401bb9aab4881,49e0a9aab4880,45ac99aab4880,4c3039aab4884,4bb039aab4884,46ae09aab4880,45de09aab4880,4bc4a9aab4880,40ebb9aab4881,474809aab4880,492ec9aab4880,48d3d9aab4880,4bbf99aab4880,4ce039aab4884,4910a9aab4880,4fde79aab4880,4cd3b9aab4880,4953d9aab4880,4b6589aab4880,47bec9aab4880,4943d9aab4880,4ecf99aab4880,438f59aab4880,497ec9aab4880,402e79aab4881,4c2f99aab4880,4d04a9aab4880,454f89aab4880,4e3029aab4884,478809aab4880,495ec9aab4880;
NANTERRE;92000;460ec9aab4880;
COURBEVOIE;92400;4efe69aab4880;
PARIS 14EME ARRONDISSEMENT;75014;4e6039aab4884;
YERRES;91330;444e09aab4880;
ST PRIX;95390;4c53d9aab4880;
PARIS 11EME ARRONDISSEMENT;75011;4cebc22982f80;
GUYANCOURT;78280;41b999aab4881;
Saint Remy l'Honoré;78690;42ae09aab4880;
Paris;75013;4f2e79aab4880;
Issy les Moulineaux;92130;419ccd21a4e80;
St Jean de Braye;45801;43f24f23e3e80,4b641f23e3e80,47bd8821d4e80;
RUEIL MALMAISON;92500;4b34a9aab4880;
PARIS 18EME ARRONDISSEMENT;75018;489f69aab4880;
BRUNOY;91800;4790a9aab4880;
MOISSY CRAMAYEL;77550;498ec9aab4880;
PARIS;75008;446c99aab4880;
BOULOGNE BILLANCOURT;92100;459f69aab4880;
PARIS;75012;4f6f99aab4880;
PARIS;75012;4ee989aab4880;
Paris;75116;4f2989aab4880;
LA VARENNE ST HILAIRE;94210;4d5bb9aab4880;
Cannes;6150;4cc023a982f90;
BOUGIVAL;78380;465f69aab4880;
PARIS 7EME ARRONDISSEMENT;75007;4ee029aab4884;
NEUILLY SUR SEINE;92200;41f989aab4881;
JUVISY SUR ORGE;91260;4df039aab4884;
Paris;75116;4f7e79aab4880;
VILLE D AVRAY;92410;4904a9aab4880;
ST OUEN;93400;4bcf99aab4880;
LES CLAYES SOUS BOIS;78340;403e79aab4881;
La Celle-Saint-Cloud;78170;458e09aab4880;
PARIS 18EME ARRONDISSEMENT;75018;447f79aab4880;
BRUYERES SUR OISE;95820;4f7ef9aab4880;
PARIS;75010;423e09aab4880;
Paris;75008;46df69aab4880;
PARIS 17EME ARRONDISSEMENT;75017;48fec9aab4880;
SOISY SOUS MONTMORENCY;95230;496083a982f90;
PARIS 2EME ARRONDISSEMENT;75002;49c4a9aab4880;
JOUARRE;77640;4db4a9aab4880;
MEUDON;92360;4ce589aab4880;
NANTERRE;92000;4b93d9aab4880,476b07aaa4880;
VELIZY-VILLACOUBLAY;78147;499589aab4880;
VITRY SUR SEINE;94400;462ec9aab4880;
CAILLY;76690;4eee79aab4880;
Versailles;78000;466ec9aab4880;
PARIS 8EME ARRONDISSEMENT;75008;40fbb9aab4881;
PARIS 14EME ARRONDISSEMENT;75014;400e79aab4881;
Montrouge;92120;4febb9aab4880;
POMPONNE;77400;4ef013a982f90;
CORMEILLES EN PARISIS;95240;4872832982f80;
ST MAX;54130;4e31c32982f80,449ce821d4e80;
RUEIL MALMAISON;92500;4578e9aab4880;
MONTREUIL;93100;4b5f99aab4880;
VALENTON;94460;442f89aab4880;
LA ROCHELLE;17000;4cbf99aab4880;
Paris;75116;47c0a9aab4880;
Paris;75019;432e09aab4880;
IVILLE;27110;449e09aab4880;
SAINTRY SUR SEINE;91250;431989aab4881;
Saint Antoine de Ficalba;47340;4c8033a982f90;
;77420;4901032982f80;
AULNAY SOUS BOIS;93600;4780a9aab4880,4a70a9aab4880,44ef89aab4880;
Thoiry;1710;4cb4a9aab4880;
;6410;43ebb22982f80,4e3667aaa4880,40a457aaa4881;
draveil;91210;4e8bb9aab4880;
PARIS 20EME ARRONDISSEMENT;75020;4ef039aab4884;
MAREIL SUR MAULDRE;78124;4db5a7aaa4880;
ORSAY;91400;4a8039aab4884;
VOISINS LE BRETONNEUX;78960;4cf039aab4884,4d54a9aab4880,4e43d9aab4880,4fdf89aab4880;
Sèvres;92310;4a20a9aab4880;
Paris;75017;47cec9aab4880;
PARIS 17EME ARRONDISSEMENT;75017;4e6f99aab4880;
METZ;57000;4f02432982f80;
Montrouge;92120;43ce09aab4880;
Paris;75020;4ac809aab4880;
CANDILLARGUES;34130;4269a7aaa4881;
MONTROUGE;92120;429c99aab4880;
COURBEVOIE;92400;4b8327aaa4880;
NEUILLY SUR SEINE;92200;4b1f99aab4880;
DEMI QUARTIER;74120;474133a982f90;
PARIS 4EME ARRONDISSEMENT;75004;49d589aab4880;
DIJON;21000;4d8447aaa4880;
ISSY LES MOULINEAUX;92130;4e2bb9aab4880;
PARIS 11EME ARRONDISSEMENT;75011;4cbe69aab4880;
LEVALLOIS PERRET;92300;483f69aab4880;
PARIS 17EME ARRONDISSEMENT;75017;4aef99aab4880,440da9aab4880,478ec9aab4880,4e8f99aab4880,40fe79aab4881,4daf99aab4880,432b922982f81,4c0b722982f80,4dcbb9aab4880,4c2039aab4884,4bb589aab4880,4ccf99aab4880,4940a9aab4880,47df69aab4880,4a43d9aab4880,470e09aab4880,4ae0a9aab4880,4be3d9aab4880,4b6f99aab4880,42ce09aab4880,4bf4a9aab4880,412b822982f81,47a0a9aab4880,4eae79aab4880,4c0b822982f80,47fec9aab4880,47f0a9aab4880,49a0a9aab4880;
PARIS 8EME ARRONDISSEMENT;75008;4800a9aab4880;
Aussurucq;64130;417c07aaa4881;
NOGENT SUR MARNE;94130;4a7589aab4880;
EPINAY SUR SEINE;93800;43be09aab4880;
Flat 5,The Old Police Station, Baker Street,NP75BB,Abergavenny, United Kingdom;;488197aaa4880;
LE KREMLIN BICETRE;94270;454267aaa4880;
paris;75008;45cf69aab4880;
lure;70200;4c80d7aaa4880;
CROSNE;91560;449ec9aab4880,4f8bb9aab4880,48b3d9aab4880;
MAISONS LAFFITTE;78600;407bb9aab4881;
Houdan;78550;4b84a9aab4880,405bf7aaa4881;
HOUDAN;78550;48f327aaa4880,4259c7aaa4880;
GOUSSAINVILLE;95190;4e9919aab4880;
PARIS 14EME ARRONDISSEMENT;75014;4278e9aab4880,482fad21a4e80;
PARIS 14EME ARRONDISSEMENT;75014;4c94a9aab4880;
MEUDON;92190;400bb9aab4881;
MORANGIS;91420;469f69aab4880;
SURESNES;92150;415bb9aab4881;
PARIS 19EME ARRONDISSEMENT;75019;4e0029aab4884;
PARIS 17EME ARRONDISSEMENT;75017;47cc19aab4880;
CHENNEVIERES SUR MARNE;94430;4c5ad7aaa4880;
MARCOUSSIS;91460;45ee09aab4880;
PARIS 4EME ARRONDISSEMENT;75004;4c73d9aab4880;
MELUN;77000;47c197aaa4880,44990821d4e80;
PARIS 16EME ARRONDISSEMENT;75016;4d3e69aab4880;
Suresnes;92150;4c00a9aab4880;
COMPANS;77290;478437aaa4880;
Paris;75116;48f0a9aab4880,435c99aab4880;
Paris;75017;412919aab4881;
PARIS 11EME ARRONDISSEMENT;75011;475c99aab4880;
PARIS;75014;4f0029aab4884;
CARRIERES SOUS POISSY;78955;4bd0c7aaa4880;
Saint-Ouen;93400;434307aaa4880;
PARIS 11EME ARRONDISSEMENT;75011;4ee039aab4884;
PARIS 10EME ARRONDISSEMENT;75010;43a3512aa4880;
paris;75008;478687aaa4880;
LE CHESNAY;78150;44bf69aab4880;
Ferrensac;47330;45f1f7aaa4880,48ecb821d4e80;
PUTEAUX;92800;418537aaa4880;
Rouen;76000;4691a7aaa4880;
3,des pavillons,1205,Genève;;4546f7aaa4880;
POITIERS;86000;4e6e69aab4880;
Paris;75003;495589aab4880;
BONNEUIL SUR MARNE;94380;4f0e79aab4880;
PARIS 2EME ARRONDISSEMENT;75002;4a33d9aab4880;
PARIS;75116;447e09aab4880;
VERSAILLES;78000;438f69aab4880;
CLERMONT FERRAND;63000;466277aaa4880;
PARIS 7EME ARRONDISSEMENT;75007;4b5039aab4884;
Paris;75012;408417aaa4881;
Paris;75008;4e4e69aab4880,4f3f99aab4880;
MORAINVILLIERS;78630;4f8e79aab4880;
REIMS;51100;4fb5a7aaa4880;
Beynes;78650;46af69aab4880;
Paris;75014;4930a9aab4880;
SAVIGNY LE TEMPLE;77176;4c6f99aab4880;
PARIS 15EME ARRONDISSEMENT;75015;4fbbb9aab4880;
CROIX;59170;41b537aaa4880,47cc3821d4e80;
PARIS;75116;4c7bb9aab4880;
PARIS 7EME ARRONDISSEMENT;75007;4b90a9aab4880;
PARIS 14EME ARRONDISSEMENT;75014;4ebe69aab4880;
PARIS;75012;46bf89aab4880;
Pantin;93500;448da9aab4880;
Migné-Auxances;86440;497437aaa4880;
CREVANT LAVEINE;63350;4efa37aaa4880;
BUSSY ST GEORGES;77600;4b94a9aab4880;
PARIS 12EME ARRONDISSEMENT;75012;4b54a9aab4880;
LA CHAUSSEE ST VICTOR;41260;42e9b7aaa4881;
LA CHAUSSEE ST VICTOR;41260;43ef69aab4880;
Paris;75013;49b3d9aab4880;
Paris;75017;4f7f89aab4880;
QUINCY VOISINS;77860;4b9f99aab4880;
UMPEAU;28700;46f197aaa4880;
PARIS 18EME ARRONDISSEMENT;75018;4e1f99aab4880;
PARIS;75014;4e0919aab4880;
PARIS 12EME ARRONDISSEMENT;75012;4e15c7aaa4880;
Paris;75014;486f69aab4880;
PARIS;75005;461e09aab4880;
VILLENEUVE DE BERG;7170;4af437aaa4880;
MONTIGNY LE BRETONNEUX;78180;4a14a9aab4880;
Paris;75015;4eead7aaa4880;
Paris;75014;4c03d9aab4880;
MONTREUIL;93100;453e09aab4880;
Paris;75007;443f79aab4880;
BAGNOLET;93170;4d94a9aab4880;
VILLEJUIF;94800;4cfbb9aab4880;
LE TREMBLAY SUR MAULDRE;78490;409a87aaa4880;
LE HAVRE;76600;430727aaa4880;
MASSY;91300;459e09aab4880;
ELANCOURT;78990;4d9039aab4884;
Paris;75002;46df89aab4880;
Joinville le pont;94340;49e3d9aab4880;
COLLEGIEN;77090;4e8b37aaa4880,476197aaa4880,4682f7aaa4880,470637aaa4880,475637aaa4880,4416b7aaa4880;
paris;75013;4d2039aab4884;
PARIS 4EME ARRONDISSEMENT;75004;4e14a9aab4880;
LES LOGES EN JOSAS;78350;4d23d9aab4880;
Paris;75015;4fef89aab4880;
LA VARENNE ST HILAIRE;94210;4cc3b9aab4880;
PARIS 15EME ARRONDISSEMENT;75015;468f69aab4880;
ANTONY;92160;44cc99aab4880;
FORGES LES EAUX;76440;4bdb47aaa4880,441777aaa4880;
VERNON;27200;49ebe7aaa4880;
ORMESSON SUR MARNE;94490;4189c7aaa4880;
VITRY SUR SEINE;94400;4a6327aaa4880;
PARIS 11EME ARRONDISSEMENT;75011;483f89aab4880;
CHIGNY LES ROSES;51500;4d5c07aaa4880;
PARIS;75017;49c589aab4880;
MONTHERLANT;60790;499ec9aab4880;
PARIS 15EME ARRONDISSEMENT;75015;4a80a9aab4880,4c44a9aab4880;
PARIS 5EME ARRONDISSEMENT;75005;4c4bb9aab4880;
Paris;75017;4ba039aab4884;
Paris;75005;4dce69aab4880;
PARIS 14EME ARRONDISSEMENT;75014;4bb4a9aab4880;
PARIS 19EME ARRONDISSEMENT;75019;4933d9aab4880;
Paris;75116;44eec9aab4880;
ALOXE CORTON;21420;4cc043a982f90;
PARIS;75019;4c54a9aab4880;
VIRY CHATILLON;91170;47e0a9aab4880;
Paris;75001;4e6417aaa4880;
VILLENEUVE LE ROI;94290;45bc19aab4880;
Versailles;78000;41a717aaa4880;
PARIS 18EME ARRONDISSEMENT;75018;4f04f7aaa4880;
PARIS 2EME ARRONDISSEMENT;75002;442f79aab4880;
LE BOURGET;93350;4c14a9aab4880;
Orsay;91400;4f9f99aab4880;
MAINVILLIERS;28300;49a3d9aab4880;
BIEVRES;91570;4b04a9aab4880;
ST MAUR DES FOSSES;94100;4ebe79aab4880;
Paris;75014;43eb2921d4e80;
CHAILLEVETTE;17890;4dbe69aab4880;
ST AUBIN LES ELBEUF;76410;49b589aab4880;
SARTROUVILLE;78500;41abb9aab4881;
Paris;75017;42fdf9aab4880;
BONDY;93140;4920a9aab4880;
NEUILLY SUR MARNE;93330;4faf99aab4880;
PARIS;75005;47b0a9aab4880;
saint léger en yvelines;78610;465ec9aab4880;
Marcousssis;91460;444da9aab4880;
Vincennes;94300;43f8e9aab4880;
PARIS 12EME ARRONDISSEMENT;75012;454e09aab4880;
villeneuve d'ascq;59650;4adf99aab4880;
PARIS 8EME ARRONDISSEMENT;75008;45a809aab4880,4c5039aab4884;
COURTABOEUF CEDEX;91978;4c33d9aab4880;
CRETEIL;94000;43b607aaa4880;
paris;75008;402447aaa4881;
PARIS 17EME ARRONDISSEMENT;75017;422e09aab4880;
Bitche;57230;4e9667aaa4880,c/760022;
Paris;75013;4cabb9aab4880;
PARIS 20EME ARRONDISSEMENT;75020;4ca3b9aab4880;
COURBEVOIE;92400;43fc99aab4880;
JOINVILLE LE PONT;94340;44ca37aaa4880,4bd647aaa4880;
VILLEPINTE;93420;42fa37aaa4880;
MORSANG SUR ORGE;91390;407b87aaa4881,43f977aaa4880;
CHAMPIGNY SUR MARNE;94500;444207aaa4880;
CHATENAY MALABRY;92290;4e23d9aab4880;
ASNIERES SUR SEINE;92600;40f717aaa4880;
Montrouge;92120;477f89aab4880;
Paris;75007;47b147aaa4880;
Paris;75008;4d3d7821d4e80;
PARIS;75008;4e6357aaa4880;
Paris;75116;431467aaa4880;
PARIS 7EME ARRONDISSEMENT;75007;4ab4a9aab4880;
Neuilly sur seine;92200;4d2bb7aaa4880;
GOURNAY SUR MARNE;93460;4c12d7aaa4880;
VIRY CHATILLON;91170;485bb7aaa4880;
Levallois;92300;4e4b87aaa4880;
PARIS 10EME ARRONDISSEMENT;75010;4d6039aab4884;
PARIS 15EME ARRONDISSEMENT;75015;4f48d7aaa4880;
CAGNES-SUR-MER;6800;46c197aaa4880,4e8fb821d4e80;
MORMANT;77720;428999aab4881;
Bretigny;91220;438a37aaa4880;
Paris;75013;476b67aaa4880;
BRIE COMTE ROBERT;77170;41d837aaa4880;
PARIS 15EME ARRONDISSEMENT;75015;4c3f99aab4880;
PARIS 18EME ARRONDISSEMENT;75018;4e9447aaa4880;
PARIS 17EME ARRONDISSEMENT;75017;4e7b87aaa4880;
paris;75016;464b27aaa4880;
SAINT HILARION;78125;47a307aaa4880;
NANTERRE;92000;4f2407aaa4880;
JURANVILLE;45340;4bc437aaa4880;
Le Raincy;93340;4a2b07aaa4880;
SAINT VICTOR SUR ARLANC;43500;46a327aaa4880;
ORGEVAL;78630;435837aaa4880;
ROCHEFORT EN YVELINES;78730;480147aaa4880;
MONTPELLIER;34080;4c0637aaa4880;
LEVALLOIS PERRET;92300;42c837aaa4880;
Issy Les Moulineaux;92130;420917aaa4880;
ST MICHEL SUR ORGE;91240;457257aaa4880;
PARIS 8EME ARRONDISSEMENT;75008;4eac37aaa4880;
PARIS 13EME ARRONDISSEMENT;75013;4ae127aaa4880,462d6821d4e80;
VERNOUILLET;78540;46e327aaa4880,46d167aaa4880,401b37aaa4881;
BUC;78530;47c8d7aaa4880;
LE BOURGET;93350;44f977aaa4880;
PARIS 9EME ARRONDISSEMENT;75009;488a37aaa4880;
PARIS 19EME ARRONDISSEMENT;75019;42e927aaa4881;
SAINT CLOUD CEDEX;92216;4279f7aaa4881;
Paris;75014;45e717aaa4880;
NEUILLY SUR SEINE;92200;4a0307aaa4880;
BOURG LA REINE;92340;4b0a17aaa4880;
VILLE D AVRAY;92410;460a37aaa4880;
NEUILLY SUR SEINE;92200;4e51d7aaa4880;
CHENNEVIERES SUR MARNE;94430;4eea17aaa4880;
VILLEMANDEUR;45700;4a5437aaa4880;
Paris;75017;4d9b87aaa4880;
saint leonard;62206;4438c821d4e80;
PARIS 17EME ARRONDISSEMENT;75017;4ea617aaa4880;
VOISINS LE BRETONNEUX;78960;4f1647aaa4880;
AUBERGENVILLE;78410;45486821d4e80;
VILLERS-ECALLES;76360;46b3f7aaa4880,4ffa87aaa4880;
PARIS 10EME ARRONDISSEMENT;75010;4168a821d4e81;
ANIZY LE CHATEAU;2320;4853b7aaa4880;
NEUILLY SUR SEINE;92200;414a7821d4e81;
CHAMPSERU;28700;4e4d0821d4e80;
PARIS 3EME ARRONDISSEMENT;75003;45bd6821d4e80,4ec6d7aaa4880;
MONTFERMEIL;93370;46491d21a4e80;
paris;75017;4d6af821d4e80;
MANTES LA JOLIE;78200;42f6e821d4e80;
NEUILLY SUR SEINE;92200;4888d821d4e80;
52 Rue Agasse,52 Rue Agasse,1208,Geneve;;4ccd5821d4e80;
L HAY LES ROSES;94240;46c06821d4e84;
ANGOULEME;16000;4840e12aa4880;
Paris;75018;40a827aaa4880,4573c7aaa4880;
MEUDON;92190;4b8f99aab4880;
PARIS 7EME ARRONDISSEMENT;75007;464147aaa4880;
PARIS 8EME ARRONDISSEMENT;75008;4672d7aaa4880,46f247aaa4880;
PARIS 8EME ARRONDISSEMENT;75008;438d17aaa4880;
PARIS 14EME ARRONDISSEMENT;75014;422b57aaa4881;
PARIS;75009;497977aaa4880;
Paris;75008;45a507aaa4880;
LA GARENNE COLOMBES;92250;454507aaa4880;
ST PIERRE DU PERRAY;91280;44c1d7aaa4880,449977aaa4880;
