_id;stationSupervisedRef;chargePointSupervisedRef;plugSupervisedRef;startDate;startingMediumCode;stopDate;stopReason;stoppingMediumCode
5915fa89e4b069e65314781f;FR*SOD*S*BELI*30*1*_*_;FR*SOD*E*BELI*30*1*3*_;FR*SOD*X*BELI*30*1*3*3;1494612383;45297d21a4e80;1494615518;Badge;45297d21a4e80
5915f871e4b069e65314704a;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*2*_;FR*SOD*X*BELI*42*1*2*1;1494612062;431b07aaa4880;1494620711;Badge;431b07aaa4880
5915f875e4b069e65314705b;FR*SOD*S*BELI*18*1*_*_;FR*SOD*E*BELI*18*1*2*_;FR*SOD*X*BELI*18*1*2*1;1494612057;40ea5821d4e81;1494654228;Badge;40ea5821d4e81
5915f560e4b069e6531462fa;FR*SOD*S*BELI*1*1*_*_;FR*SOD*E*BELI*1*1*2*_;FR*SOD*X*BELI*1*1*2*1;1494611261;4c70e821d4e84;1494630781;Badge;4c70e821d4e84
5915f48de4b069e653145f92;FR*SOD*S*BELI*1*1*_*_;FR*SOD*E*BELI*1*1*3*_;FR*SOD*X*BELI*1*1*3*4;1494611062;48b3d9aab4880;1494612063;Badge;48b3d9aab4880
5915f332e4b069e65314596c;FR*SOD*S*BELI*59*1*_*_;FR*SOD*E*BELI*59*1*3*_;FR*SOD*X*BELI*59*1*3*6;1494610694;4e4b87aaa4880;1494676347;Badge;4e4b87aaa4880
5915f0ade4b069e653144fb1;FR*SOD*S*BELI*10*1*_*_;FR*SOD*E*BELI*10*1*1*_;FR*SOD*X*BELI*10*1*1*3;1494610055;44f1d7aaa4880;1494612135;Badge;44f1d7aaa4880
5915edaee4b069e6531442a6;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*3*_;FR*SOD*X*BELI*22*1*3*4;1494609313;492ded21a4e80;1494610752;End Of Charge;
5915ec81e4b069e653143cf9;FR*SOD*S*BELI*17*1*_*_;FR*SOD*E*BELI*17*1*1*_;FR*SOD*X*BELI*17*1*1*3;1494609004;478ab921d4e80;1494612198;Badge;478ab921d4e80
5915ebe0e4b069e653143a82;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*2*_;FR*SOD*X*BELI*42*1*2*1;1494608837;431b07aaa4880;1494611974;Badge;431b07aaa4880
5915e97be4b069e653142f91;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*1*_;FR*SOD*X*BELI*57*1*1*4;1494608225;437c5d21a4e80;1494611604;Badge;437c5d21a4e80
5915e91be4b069e653142d8f;FR*SOD*S*BELI*21*1*_*_;FR*SOD*E*BELI*21*1*3*_;FR*SOD*X*BELI*21*1*3*4;1494608017;462d6821d4e80;1494610220;Badge;462d6821d4e80
5915e895e4b069e653142b7b;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*3*_;FR*SOD*X*BELI*47*1*3*2;1494607965;40b72821d4e80;1494612268;End Of Charge;
5915e79fe4b069e653142640;FR*SOD*S*BELI*11*1*_*_;FR*SOD*E*BELI*11*1*2*_;FR*SOD*X*BELI*11*1*2*1;1494607769;497ddd21a4e80;1494607847;Badge;497ddd21a4e80
5915e925e4b069e653142dcc;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*1*_;FR*SOD*X*BELI*57*1*1*4;1494607703;437c5d21a4e80;1494607754;Badge;437c5d21a4e80
