"Start","End","Day","Weekend","Arrival","Charge.Duration","Idle.Duration","Park.Duration","Energy"
2019-04-16 12:41:56,2019-04-16 18:22:09,"Tuesday",0,12.68,330.166666666667,10.05,340.216666666667,34.537
2019-04-16 13:32:41,2019-04-16 21:21:37,"Tuesday",0,13.53,271.033333333333,197.9,468.933333333333,25.288
2019-04-17 09:29:49,2019-04-17 16:54:20,"Wednesday",0,9.48,63.9,380.616666666667,444.516666666667,5.715
2019-04-17 11:07:34,2019-04-17 17:50:03,"Wednesday",0,11.12,243.133333333333,159.35,402.483333333333,13.476
2019-04-18 09:27:31,2019-04-18 11:25:40,"Thursday",0,9.45,66.25,51.9,118.15,5.956
2019-04-18 10:10:13,2019-04-18 16:40:49,"Thursday",0,10.17,391.566666666667,-0.96666666666664,390.6,37.185
2019-04-18 11:19:04,2019-04-18 17:07:02,"Thursday",0,11.32,196.883333333333,151.083333333333,347.966666666667,10.861
2019-04-18 12:24:59,2019-04-18 17:09:18,"Thursday",0,12.4,13.1833333333333,271.133333333333,284.316666666667,1.236
2019-04-18 13:53:56,2019-04-18 21:33:25,"Thursday",0,13.88,418.883333333333,40.6,459.483333333333,34.147
2019-04-18 16:40:53,2019-04-18 17:11:25,"Thursday",0,16.67,30.4666666666667,0.06666666666667,30.5333333333333,3.177
2019-04-19 09:21:44,2019-04-19 16:35:20,"Friday",0,9.35,68.8833333333333,364.716666666667,433.6,6.156
2019-04-19 09:53:07,2019-04-19 15:04:14,"Friday",0,9.88,295.8,15.3166666666667,311.116666666667,27.954
2019-04-19 11:37:58,2019-04-19 18:51:27,"Friday",0,11.62,189.083333333333,244.4,433.483333333333,10.45
2019-04-19 17:58:50,2019-04-19 21:25:47,"Saturday",1,17.97,140.6,66.35,206.95,14.417
2019-04-22 09:32:49,2019-04-22 17:51:51,"Monday",0,9.53,149.8,349.233333333333,499.033333333333,14.007
2019-04-22 11:30:29,2019-04-22 15:31:12,"Monday",0,11.5,126.75,113.966666666667,240.716666666667,6.95
2019-04-23 09:02:40,2019-04-23 17:34:58,"Tuesday",0,9.03,54.05,458.25,512.3,5.071
