"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-01-14 20:25:00,2018-01-14 21:00:00,"Sunday",1,20.42,34.5666666666667,34.75,3.739
2018-01-14 21:25:00,2018-01-14 22:33:00,"Sunday",1,21.42,67.8,68.2666666666667,8.029
2018-01-15 16:05:00,2018-01-15 17:53:00,"Monday",0,16.08,107.983333333333,108.483333333333,4.099
2018-01-16 13:57:00,2018-01-16 14:43:00,"Tuesday",0,13.95,46.6333333333333,46.8,4.71
2018-01-16 14:41:00,2018-01-17 00:12:00,"Tuesday",0,14.68,307.783333333333,570.583333333333,17.032
2018-01-16 15:32:00,2018-01-16 22:41:00,"Tuesday",0,15.53,108.383333333333,428.783333333333,10.592
2018-01-16 15:45:00,2018-01-16 19:23:00,"Tuesday",0,15.75,218.466666666667,218.833333333333,20.403
2018-01-16 17:57:00,2018-01-16 19:53:00,"Tuesday",0,17.95,116.033333333333,116.166666666667,11.752
2018-01-16 21:41:00,2018-01-16 22:37:00,"Tuesday",0,21.68,55.9666666666667,56.1,5.823
2018-01-17 15:30:00,2018-01-17 21:28:00,"Wednesday",0,15.5,124.733333333333,358.283333333333,12.124
2018-01-17 16:02:00,2018-01-17 18:22:00,"Wednesday",0,16.03,138.8,139.166666666667,8.171
2018-01-17 19:15:00,2018-01-18 16:43:00,"Wednesday",0,19.25,190.916666666667,1287.61666666667,7.718
2018-01-17 22:20:00,2018-01-17 23:09:00,"Wednesday",0,22.33,49.1,49.4333333333333,2.939
2018-01-17 23:44:00,2018-01-18 00:14:00,"Wednesday",0,23.73,29.7,29.9166666666667,0.775
2018-01-18 00:20:00,2018-01-18 02:44:00,"Thursday",0,0.33,134.55,144.4,13.125
2018-01-18 15:37:00,2018-01-18 16:57:00,"Thursday",0,15.62,80.3,80.6166666666667,8.135
2018-01-18 17:27:00,2018-01-19 16:18:00,"Thursday",0,17.45,83.45,1370.8,2.015
2018-01-18 17:28:00,2018-01-18 19:33:00,"Thursday",0,17.47,119.633333333333,124.95,5.991
2018-01-18 20:01:00,2018-01-18 20:33:00,"Thursday",0,20.02,30.9333333333333,31.5333333333333,3.374
2018-01-18 20:18:00,2018-01-18 21:15:00,"Thursday",0,20.3,56.5666666666667,56.9,3.029
