"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-09 13:21:00,2017-01-09 13:39:00,"Monday",0,13.35,18,7.14
2017-01-09 13:27:00,2017-01-09 15:53:00,"Monday",0,13.45,146,6.61
2017-01-09 13:31:00,2017-01-09 13:44:00,"Monday",0,13.52,13,5.46
2017-01-09 13:39:00,2017-01-09 14:03:00,"Monday",0,13.65,24,6.01
2017-01-09 13:45:00,2017-01-09 14:09:00,"Monday",0,13.75,24,1.47
2017-01-09 13:49:00,2017-01-09 14:31:00,"Monday",0,13.82,42,1.54
2017-01-09 13:53:00,2017-01-09 13:56:00,"Monday",0,13.88,3,2.31
2017-01-09 13:57:00,2017-01-09 14:24:00,"Monday",0,13.95,27,0.61
2017-01-09 14:01:00,2017-01-09 14:17:00,"Monday",0,14.02,16,7.85
2017-01-09 14:11:00,2017-01-09 14:38:00,"Monday",0,14.18,27,11.84
2017-01-09 14:14:00,2017-01-09 14:28:00,"Monday",0,14.23,14,8.63
2017-01-09 14:18:00,2017-01-09 14:38:00,"Monday",0,14.3,20,1.51
2017-01-09 14:25:00,2017-01-09 14:57:00,"Monday",0,14.42,32,1.6
2017-01-09 14:29:00,2017-01-09 14:58:00,"Monday",0,14.48,29,17.02
2017-01-09 14:30:00,2017-01-09 14:50:00,"Monday",0,14.5,20,8.79
2017-01-09 14:40:00,2017-01-09 15:05:00,"Monday",0,14.67,25,12.067
2017-01-09 14:53:00,2017-01-09 15:04:00,"Monday",0,14.88,11,5.42
2017-01-09 15:01:00,2017-01-09 15:10:00,"Monday",0,15.02,9,4.66
2017-01-09 15:12:00,2017-01-09 15:42:00,"Monday",0,15.2,30,10.68
2017-01-09 15:28:00,2017-01-09 16:01:00,"Monday",0,15.47,33,14.73
2017-01-09 15:35:00,2017-01-09 15:58:00,"Monday",0,15.58,23,3.254
2017-01-09 15:39:00,2017-01-09 18:27:00,"Monday",0,15.65,168,8.12
2017-01-09 15:57:00,2017-01-09 16:28:00,"Monday",0,15.95,31,10.823
2017-01-09 16:01:00,2017-01-09 16:24:00,"Monday",0,16.02,23,11.36
2017-01-09 16:02:00,2017-01-09 16:09:00,"Monday",0,16.03,7,4.78
2017-01-09 16:12:00,2017-01-09 16:47:00,"Monday",0,16.2,35,11.75
2017-01-09 16:16:00,2017-01-09 16:37:00,"Monday",0,16.27,21,11.96
2017-01-09 16:25:00,2017-01-09 17:02:00,"Monday",0,16.42,37,20.75
2017-01-09 16:48:00,2017-01-09 17:14:00,"Monday",0,16.8,26,7.31
2017-01-09 16:57:00,2017-01-09 18:23:00,"Monday",0,16.95,86,22.661
2017-01-09 17:03:00,2017-01-09 17:13:00,"Monday",0,17.05,10,6.24
2017-01-09 17:16:00,2017-01-09 18:16:00,"Monday",0,17.27,60,12.91
2017-01-09 17:39:00,2017-01-09 17:45:00,"Monday",0,17.65,6,3.37
2017-01-09 18:01:00,2017-01-09 18:11:00,"Monday",0,18.02,10,4.62
2017-01-09 18:04:00,2017-01-09 18:38:00,"Monday",0,18.07,34,10.77
2017-01-09 18:26:00,2017-01-09 19:01:00,"Monday",0,18.43,35,2.08
2017-01-09 18:44:00,2017-01-09 19:21:00,"Monday",0,18.73,37,20.56
2017-01-09 18:48:00,2017-01-09 19:05:00,"Monday",0,18.8,17,5.1
2017-01-09 19:44:00,2017-01-09 19:50:00,"Monday",0,19.73,6,4.13
2017-01-09 19:45:00,2017-01-09 19:51:00,"Monday",0,19.75,6,3.41
2017-01-09 19:55:00,2017-01-09 20:06:00,"Monday",0,19.92,11,6.74
2017-01-09 19:58:00,2017-01-09 20:15:00,"Monday",0,19.97,17,11.9
2017-01-09 20:23:00,2017-01-09 20:33:00,"Monday",0,20.38,10,5.57
2017-01-09 20:30:00,2017-01-09 21:16:00,"Monday",0,20.5,46,8.496
2017-01-09 20:41:00,2017-01-09 20:58:00,"Monday",0,20.68,17,6.24
2017-01-09 20:55:00,2017-01-09 21:09:00,"Monday",0,20.92,14,5.87
2017-01-09 20:59:00,2017-01-09 21:31:00,"Monday",0,20.98,32,19.72
2017-01-09 21:09:00,2017-01-09 21:25:00,"Monday",0,21.15,16,5.48
2017-01-09 21:10:00,2017-01-09 21:27:00,"Monday",0,21.17,17,6.88
2017-01-09 21:26:00,2017-01-09 21:32:00,"Monday",0,21.43,6,3.67
2017-01-09 21:34:00,2017-01-09 21:56:00,"Monday",0,21.57,22,12.87
2017-01-09 21:40:00,2017-01-09 22:01:00,"Monday",0,21.67,21,11.76
2017-01-09 21:56:00,2017-01-09 21:57:00,"Monday",0,21.93,1,0.06
2017-01-09 22:10:00,2017-01-09 22:30:00,"Monday",0,22.17,20,10.97
2017-01-09 22:10:00,2017-01-09 22:28:00,"Monday",0,22.17,18,8.63
2017-01-09 22:23:00,2017-01-09 22:31:00,"Monday",0,22.38,8,4.41
2017-01-09 22:28:00,2017-01-09 22:35:00,"Monday",0,22.47,7,3.76
2017-01-09 22:41:00,2017-01-09 22:48:00,"Monday",0,22.68,7,2.64
2017-01-09 22:47:00,2017-01-09 23:34:00,"Monday",0,22.78,47,0.145
2017-01-09 22:54:00,2017-01-09 23:15:00,"Monday",0,22.9,21,8.11
2017-01-09 23:04:00,2017-01-09 23:08:00,"Monday",0,23.07,4,2.04
2017-01-09 23:05:00,2017-01-09 23:35:00,"Monday",0,23.08,30,12.56
2017-01-09 23:16:00,2017-01-09 23:30:00,"Monday",0,23.27,14,8.28
2017-01-10 00:23:00,2017-01-10 00:38:00,"Tuesday",0,0.38,15,6.19
2017-01-10 00:30:00,2017-01-10 00:47:00,"Tuesday",0,0.5,17,11.56
2017-01-10 00:38:00,2017-01-10 01:01:00,"Tuesday",0,0.63,23,12.17
2017-01-10 00:46:00,2017-01-10 10:25:00,"Tuesday",0,0.77,579,19.23
2017-01-10 01:00:00,2017-01-10 01:29:00,"Tuesday",0,1,29,14.39
2017-01-10 01:15:00,2017-01-10 01:49:00,"Tuesday",0,1.25,34,16.24
2017-01-10 01:20:00,2017-01-10 01:41:00,"Tuesday",0,1.33,21,12
2017-01-10 01:21:00,2017-01-10 01:37:00,"Tuesday",0,1.35,16,12.16
2017-01-10 01:32:00,2017-01-10 01:45:00,"Tuesday",0,1.53,13,0.67
2017-01-10 01:35:00,2017-01-10 02:00:00,"Tuesday",0,1.58,25,13.98
2017-01-10 01:37:00,2017-01-10 02:08:00,"Tuesday",0,1.62,31,18.7
2017-01-10 01:56:00,2017-01-10 02:19:00,"Tuesday",0,1.93,23,12.73
2017-01-10 02:02:00,2017-01-10 02:51:00,"Tuesday",0,2.03,49,2.41
